time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
524.898,88.8115,1.504,0,9.56331,0.131726,-1.86572,-0.304878,0.487805,-1.76829,-9.87227,-0.522114,0.191602,-15.4268,-4.05488,4.02439
524.908,88.8052,1.50283,0,9.5681,0.143701,-1.89207,-0.0609756,0.396341,-1.61585,-9.91059,-0.524509,0.251477,-14.3902,-4.35976,4.42073
524.919,88.7952,1.51412,0,9.56331,0.150886,-1.88967,-0.457317,0.152439,-1.82927,-9.89862,-0.495769,0.304167,-14.878,-4.39024,4.39024
524.928,88.7951,1.52413,0,9.52978,0.110171,-1.81303,-0.457317,0.182927,-1.61585,-9.93933,-0.510139,0.301772,-15.7622,-5.18293,4.42073
524.938,88.79,1.53763,0,9.57529,0.119751,-1.87051,-0.152439,0.0304878,-1.85976,-9.94412,-0.500559,0.318538,-13.9329,-3.96341,5.30488
524.949,88.7877,1.55084,0,9.59924,0.0862207,-1.93757,-0.152439,-0.152439,-2.04268,-9.90101,-0.476609,0.318538,-16.0366,-4.84756,5.33537
524.959,88.7827,1.5556,0,9.58008,0.114961,-1.86093,-0.0609756,0.304878,-1.92073,-9.91059,-0.471819,0.285007,-16.189,-4.14634,4.57317
524.969,88.7831,1.54994,0,9.5681,0.0838257,-1.91841,0.121951,0.213415,-1.89024,-9.89622,-0.502954,0.241897,-16.7073,-3.71951,5.18293
524.978,88.7816,1.55388,0,9.59445,0.119751,-1.86333,0.152439,0.304878,-1.61585,-9.90341,-0.488584,0.280217,-17.3171,-5.67073,5.27439
524.988,88.7794,1.5631,0,9.52739,0.114961,-1.85854,0.365854,0.121951,-1.7378,-9.90101,-0.490979,0.304167,-16.8293,-4.78659,4.69512
524.998,88.7767,1.56886,0,9.5705,0.124541,-1.86093,0,0.0914634,-1.64634,-9.88904,-0.479004,0.289797,-16.6768,-5.91463,4.45122
525.008,88.7729,1.58156,0,9.5705,0.124541,-1.90165,0.0609756,0.0914634,-1.7378,-9.9058,-0.522114,0.320933,-15.6707,-6.67683,5.70122
525.019,88.7713,1.58315,0,9.5705,0.126936,-1.89446,0.365854,0.152439,-1.55488,-9.9058,-0.498164,0.275427,-16.6463,-5.82317,4.54268
525.028,88.7711,1.60907,0,9.57289,0.119751,-1.84417,0.152439,-0.27439,-1.55488,-9.88904,-0.488584,0.380808,-16.311,-5.91463,4.66463
525.038,88.7715,1.60347,0,9.60163,0.112566,-1.86093,0.27439,-0.213415,-1.58537,-9.89862,-0.500559,0.249082,-15.0915,-5.51829,5.39634
525.049,88.7705,1.60528,0,9.62079,0.102986,-1.82261,0.396341,0.0304878,-1.79878,-9.89383,-0.469424,0.280217,-15.7927,-5.33537,4.63415
525.058,88.7705,1.60992,0,9.63995,0.124541,-1.9232,0.213415,0,-1.46341,-9.8555,-0.512534,0.292192,-15.8537,-4.35976,5.33537
525.068,88.7683,1.61723,0,9.59445,0.114961,-1.91841,-0.121951,0.548781,-1.7378,-9.8603,-0.505349,0.304167,-14.7256,-5.18293,5.42683
525.078,88.7679,1.61616,0,9.58966,0.105381,-1.89925,0.0304878,0.457317,-1.7378,-9.89862,-0.510139,0.270637,-15.1524,-4.93902,5.06098
525.088,88.7667,1.62669,0,9.5681,0.110171,-1.88728,0.304878,0.335366,-1.7378,-9.92496,-0.495769,0.320933,-15.4573,-5.7622,6.67683
525.098,88.7643,1.62446,0,9.56092,0.107776,-1.82979,0.121951,0.457317,-1.85976,-9.88425,-0.507744,0.265847,-16.0061,-6.06707,5.54878
525.108,88.7607,1.62775,0,9.5705,0.110171,-1.80824,-0.152439,0.27439,-1.92073,-9.9082,-0.514929,0.289797,-15.3963,-6.4939,4.66463
525.119,88.7634,1.63456,0,9.55613,0.114961,-1.89686,0,0.152439,-1.43293,-9.92736,-0.529299,0.306563,-16.7988,-6.12805,5.4878
525.128,88.7625,1.63301,0,9.60163,0.124541,-1.87291,0.0304878,0.0914634,-1.55488,-9.91059,-0.490979,0.270637,-14.7866,-6.31098,4.5122
525.139,88.7625,1.62847,0,9.58487,0.129331,-1.83219,-0.121951,0.121951,-1.43293,-9.93215,-0.486189,0.256267,-14.2073,-8.17073,4.90854
525.149,88.7666,1.61364,0,9.55613,0.0910107,-1.84656,0.0914634,0.121951,-1.61585,-9.92496,-0.474214,0.210762,-14.5122,-7.62195,5.2439
525.159,88.771,1.607,0,9.55613,0.112566,-1.90404,0.0304878,0.182927,-1.34146,-9.92496,-0.488584,0.241897,-13.872,-10.061,5.79268
525.169,88.7773,1.60585,0,9.59684,0.100591,-1.89686,0.0609756,-0.182927,-1.34146,-9.94891,-0.486189,0.265847,-13.9634,-9.54268,4.45122
525.178,88.7823,1.60944,0,9.59924,0.119751,-1.90404,0.426829,0.518293,-1.18902,-9.92736,-0.502954,0.285007,-13.1707,-10.5488,4.26829
525.189,88.789,1.61518,0,9.56092,0.102986,-1.91602,0.365854,0.396341,-1.28049,-9.94652,-0.507744,0.294587,-14.1159,-11.6768,4.57317
525.198,88.7945,1.62586,0,9.54655,0.0981958,-1.87291,0.609756,0.701219,-1.40244,-9.93215,-0.498164,0.316143,-13.1707,-12.4695,3.44512
525.209,88.7963,1.63357,0,9.56571,0.100591,-1.92799,0.579268,0.731707,-1.58537,-9.92257,-0.486189,0.304167,-12.5915,-13.1098,4.26829
525.218,88.7991,1.63759,0,9.59205,0.0838257,-1.86812,0.762195,0.640244,-1.70732,-9.94652,-0.459844,0.289797,-13.1098,-13.3841,3.53659
525.228,88.7997,1.64697,0,9.60163,0.0934058,-1.84177,0.884146,0.426829,-1.7378,-9.92736,-0.467029,0.313748,-14.1159,-12.9878,4.72561
525.239,88.8103,1.66677,0,9.58726,0.0550855,-1.85614,0.792683,0.365854,-1.52439,-9.91778,-0.483794,0.359253,-13.9634,-14.6341,3.71951
525.249,88.8144,1.67909,0,9.62319,0.0694556,-1.88728,0.762195,0.487805,-1.7378,-9.92975,-0.464634,0.330513,-15.3354,-14.4207,4.02439
525.258,88.8154,1.67682,0,9.60642,0.0910107,-1.8777,0.914634,0.548781,-1.70732,-9.95849,-0.481399,0.268242,-16.1585,-15.9451,3.93293
525.268,88.8159,1.67589,0,9.59684,0.112566,-1.87051,0.853659,1.34146,-1.4939,-9.94652,-0.486189,0.273032,-17.1646,-16.3415,4.05488
525.278,88.8171,1.6756,0,9.58008,0.0958008,-1.88488,0.670732,0.762195,-1.64634,-9.98005,-0.507744,0.275427,-16.0671,-17.7439,3.32317
525.289,88.8149,1.69196,0,9.5705,0.102986,-1.82261,0.640244,0.365854,-1.79878,-9.99202,-0.541274,0.347278,-14.6951,-19.8476,2.68293
525.298,88.8044,1.70276,0,9.60163,0.141306,-1.81542,0.457317,0.0304878,-1.98171,-10.004,-0.546064,0.325723,-14.7256,-20.122,3.23171
525.308,88.8045,1.7075,0,9.56331,0.0934058,-1.88728,0.365854,-0.243902,-1.76829,-9.95131,-0.529299,0.299377,-14.8171,-20.061,3.35366
525.319,88.8055,1.70841,0,9.55852,0.0886157,-1.825,0.579268,0.152439,-1.76829,-9.92975,-0.505349,0.282612,-14.6646,-20.2439,3.23171
525.328,88.8021,1.73529,0,9.58726,0.112566,-1.79866,0.335366,0.0304878,-1.79878,-9.94652,-0.55804,0.395178,-13.7195,-22.6524,2.59146
525.339,88.8017,1.74857,0,9.58966,0.112566,-1.84896,-0.0304878,0.0914634,-1.58537,-9.98244,-0.534089,0.340093,-14.6037,-24.1463,3.01829
525.349,88.809,1.76107,0,9.58487,0.0766406,-1.81542,-0.0914634,-0.121951,-1.4939,-9.97047,-0.510139,0.337698,-13.4146,-25.122,3.20122
525.358,88.8092,1.77899,0,9.55852,0.100591,-1.83458,-0.0609756,-0.213415,-1.67683,-9.97765,-0.507744,0.364043,-15.1829,-25.061,2.5
525.368,88.8091,1.7797,0,9.54415,0.0981958,-1.77471,-0.396341,-0.365854,-1.7378,-9.94173,-0.476609,0.289797,-14.3598,-25.7012,2.34756
525.378,88.805,1.7854,0,9.54655,0.0958008,-1.82261,-0.365854,-0.396341,-2.04268,-9.94173,-0.490979,0.311353,-15.122,-26.25,2.0122
525.388,88.7991,1.77792,0,9.57768,0.107776,-1.86093,-0.304878,-0.457317,-2.04268,-9.9537,-0.459844,0.253872,-15.7012,-27.3476,1.7378
525.398,88.7968,1.76901,0,9.58247,0.0981958,-1.85854,-0.579268,-0.548781,-1.89024,-9.95131,-0.483794,0.246687,-14.9695,-26.8598,0.487805
525.408,88.7935,1.79094,0,9.58487,0.100591,-1.84656,-0.548781,-0.640244,-1.95122,-9.97286,-0.498164,0.378413,-13.872,-30.2439,0
525.419,88.7898,1.82967,0,9.58247,0.100591,-1.84896,-0.335366,-0.213415,-1.98171,-10.0232,-0.495769,0.455054,-12.6829,-34.2378,-0.762195
525.428,88.7861,1.86396,0,9.60163,0.100591,-1.90883,-0.426829,-0.213415,-1.98171,-10.0639,-0.522114,0.443079,-11.9512,-35.3354,-0.731707
525.439,88.7812,1.89644,0,9.58487,0.0934058,-1.90165,-0.518293,-0.0609756,-2.16463,-10.0136,-0.493374,0.438289,-12.6524,-35.9451,-1.4939
525.449,88.7802,1.92601,0,9.56571,0.0718506,-1.83698,-0.701219,0.213415,-2.13415,-9.98244,-0.514929,0.428708,-12.5,-37.1646,0.335366
525.458,88.7776,1.95195,0,9.62079,0.100591,-1.825,-1.15854,0.426829,-1.92073,-9.95849,-0.531694,0.416733,-13.1098,-37.3476,0.518293
